"","eez","Dist"
"1","New Zealand",168427.999768463
"2","Japan",87247.3825686205
"3","Gilbert Islands",132900.279078295
"4","Marshall Islands",113869.597910185
"5","Philippines",60623.2642831006
"6","Tonga",54503.4062305598
"7","New Zealand",3773.16841145378
"8","New Zealand",74033.7354028995
"9","Cook Islands",101284.807478904
"10","French Polynesia",28386.3151858876
"11","New Zealand",106434.210356392
"12","French Polynesia",23948.4707248994
"13","French Polynesia",42637.7690998096
"14","Australia",167896.96718066
"15","Hawaii",40257.1981248014
"16","Tonga",105968.205748735
"17","Micronesia",160893.753705055
"18","New Zealand",73795.0265310258
"19","Hawaii",67527.229231552
"20","Line Group",182039.214331856
"21","Northern Mariana Islands",16078.2612944894
"22","Micronesia",103740.395344572
"23","New Zealand",63550.9226403343
"24","Japan",99890.7911902033
"25","Jarvis Island",87431.7887650798
"26","New Zealand",103224.527015497
"27","New Zealand",181020.38585863
"28","Hawaii",163985.356056578
"29","Cook Islands",170258.005709788
"30","Hawaii",118957.938950454
"31","French Polynesia",13919.7324691096
"32","Northern Mariana Islands",56332.2269065993
"33","Japan",2241.78759215196
"34","New Zealand",67779.3705671117
"35","Cook Islands",62203.9931889203
"36","Hawaii",64012.3623989368
"37","Australia",100501.891183319
"38","Wake Island",174891.747894628
"39","Wake Island",49067.3252259953
"40","New Zealand",127098.002219323
"41","Hawaii",79012.815445923
"42","Hawaii",148433.259160736
"43","Line Group",10059.1695657282
"44","Japan",115905.443615927
"45","Marshall Islands",157714.806858882
"46","New Caledonia",100987.109869744
"47","New Zealand",93709.556676855
"48","Japan",21851.8989286092
"49","Papua New Guinea",46122.0692498263
"50","Solomon Islands",23435.2623357983
"51","Micronesia",33216.0947967508
"52","New Zealand",120556.81163079
"53","French Polynesia",24005.9455922731
"54","Japan",122094.983855531
"55","Cook Islands",54383.5599340228
"56","Hawaii",65107.0766683516
"57","Hawaii",169648.764327048
"58","New Zealand",30950.2789728321
"59","Cook Islands",115022.00516113
"60","Philippines",58618.416168679
"61","Solomon Islands",46339.7638185972
"62","Australia",184761.279779135
"63","Wake Island",5283.24273852501
"64","Nauru",89331.1088472271
"65","Hawaii",130726.363977315
"66","Hawaii",166562.690837565
"67","Palmyra Atoll",97638.9103740496
"68","New Zealand",91825.8194863866
"69","Micronesia",127835.892578915
"70","New Zealand",13449.8351101966
"71","Gilbert Islands",66237.9743319856
"72","Gilbert Islands",107718.291910211
"73","French Polynesia",45921.8108395893
"74","Nauru",36683.4314152477
"75","Line Group",72051.4198625529
"76","Howland and Baker islands",56821.5500835442
"77","French Polynesia",123488.305851253
"78","Hawaii",47338.0812509515
"79","Wake Island",26821.8058245575
"80","Japan",167332.456603129
"81","Hawaii",137094.768613339
"82","New Zealand",123868.708932472
"83","Hawaii",184808.401381429
"84","Micronesia",40235.834063789
"85","Japan",31967.9031360259
"86","Solomon Islands",49274.8743200339
"87","Papua New Guinea",115865.153176494
"88","Gilbert Islands",92810.6507270825
"89","Japan",87264.0084169258
"90","French Polynesia",60476.1153407235
"91","New Zealand",160091.711728348
"92","French Polynesia",7271.49403569976
"93","Papua New Guinea",37844.8173574605
"94","Japan",108177.173960461
"95","New Zealand",127748.290993648
"96","Japan",14490.1610059383
"97","Japan",132581.963624174
"98","Hawaii",117614.814781823
"99","French Polynesia",96044.8185371183
"100","Australia",34976.5034713185
"101","Phoenix Group",32431.3837858991
"102","Line Group",87912.1367174467
"103","Johnston Atoll",105829.362077597
"104","Pitcairn",94288.6398094825
"105","Solomon Islands",68477.9881934406
"106","Japan",126422.499492358
"107","Australia",92157.7115437557
"108","New Zealand",157998.470772106
"109","Palmyra Atoll",22888.1438872296
"110","Line Group",62180.2604657279
"111","Howland and Baker islands",38303.0590604093
"112","Howland and Baker islands",97756.4413442895
"113","Jarvis Island",37018.1558109165
"114","Japan",139749.386898829
"115","Japan",93951.3995987122
"116","Howland and Baker islands",14098.4087501218
"117","Hawaii",170335.455215306
"118","French Polynesia",67065.5170650665
"119","French Polynesia",109275.550998868
"120","Hawaii",56914.4811684884
"121","Johnston Atoll",134277.386600569
"122","Japan",11191.6443773429
"123","New Zealand",85302.8755193239
"124","Japan",135583.232944344
"125","New Zealand",126193.656632413
"126","Japan",52492.9562700403
"127","New Zealand",160662.25839142
"128","Australia",154636.92087681
"129","Cook Islands",108411.602606435
"130","New Caledonia",30706.4621753843
"131","Marshall Islands",72288.910334158
"132","Australia",63091.3253070445
"133","Hawaii",2587.03671335604
"134","New Zealand",141378.142792595
"135","Tonga",23728.748473925
"136","Line Group",90188.6180021893
"137","French Polynesia",73321.999033047
"138","Wake Island",104579.958799538
"139","Marshall Islands",61567.3504624816
"140","Hawaii",180172.75044988
"141","Hawaii",113147.16938872
"142","Cook Islands",42768.5665793765
"143","Micronesia",48215.3893221904
"144","Micronesia",1671.51640479963
"145","French Polynesia",183351.775599568
"146","Hawaii",135796.565869371
"147","Hawaii",109477.241784919
"148","New Zealand",43715.0364324806
"149","Line Group",31022.0227163287
"150","Australia",40302.8148102953
"151","Johnston Atoll",133765.793571934
"152","Jarvis Island",90707.7857105706
"153","Japan",146166.532571822
"154","Micronesia",121697.461525358
"155","Japan",115608.578383306
"156","Howland and Baker islands",29064.2434719532
"157","French Polynesia",82934.0896885151
"158","Johnston Atoll",129886.309813833
"159","Hawaii",86917.9533673883
"160","French Polynesia",84345.9933851701
"161","French Polynesia",17652.4251731764
"162","Australia",22654.2488160772
"163","New Zealand",150214.059151116
"164","Line Group",54937.9902348758
"165","Marshall Islands",37937.0015698603
"166","Gilbert Islands",76050.6227775132
"167","Australia",79784.3645203562
"168","Phoenix Group",82033.1885658966
"169","Papua New Guinea",27465.6128371168
"170","Wake Island",98400.141307252
"171","Philippines",85830.688082789
"172","New Zealand",171281.179958489
"173","Phoenix Group",65897.8199652331
"174","Micronesia",128330.204167714
"175","Japan",4702.57512533087
"176","Cook Islands",26647.014821127
"177","Cook Islands",13595.6793346748
"178","Northern Mariana Islands",106751.32725163
"179","Japan",169816.641920602
"180","Australia",17061.0973189511
"181","Solomon Islands",126343.057723482
"182","Japan",131545.693176075
"183","Northern Mariana Islands",76837.6724950011
"184","Northern Mariana Islands",6203.15289898889
"185","New Zealand",106002.043173242
"186","Japan",56342.4367691939
"187","Phoenix Group",147692.497978618
"188","Hawaii",45031.6685878333
"189","Micronesia",115777.006459121
"190","French Polynesia",35453.1390624714
"191","French Polynesia",52452.4880841174
"192","Indonesia",95906.2644833688
"193","Australia",104420.736167266
"194","New Zealand",85214.2267957694
"195","Fiji",119908.485657403
"196","Japan",181242.019934473
"197","Hawaii",54357.5429630755
"198","Cook Islands",64616.1791103089
"199","Australia",88048.5634812298
"200","Howland and Baker islands",4041.7834572636
"201","New Zealand",55793.2637756671
"202","Japan",60736.3722262225
"203","Niue",38255.2053525232
"204","French Polynesia",79663.4415913197
"205","French Polynesia",144252.332717141
"206","New Caledonia",5938.84576575838
"207","Japan",39095.3545537566
"208","Johnston Atoll",126862.888685702
"209","New Zealand",58952.2885110548
"210","Howland and Baker islands",31102.6042522427
"211","Marshall Islands",135716.857196854
"212","Hawaii",26836.8489992639
"213","Niue",105415.013971757
"214","Phoenix Group",28865.3100173649
"215","Marshall Islands",25575.6634139497
"216","Hawaii",59886.7533959028
"217","Japan",80064.4798062212
"218","Hawaii",169802.135000442
"219","Japan",126273.494091811
"220","Japan",25691.9738348602
"221","Line Group",174718.449870274
"222","New Zealand",41702.4635683837
"223","New Zealand",139373.489209164
"224","New Zealand",28687.177558406
"225","Fiji",73911.970843727
"226","Japan",131561.411549273
"227","French Polynesia",58557.8986313758
"228","Japan",132104.543165659
"229","Cook Islands",59788.3704964346
"230","Norfolk Island",87026.8546965531
"231","Hawaii",90503.4120924037
"232","Hawaii",182189.925520616
"233","Papua New Guinea",97611.2535117242
"234","New Zealand",56520.4784625312
"235","Wake Island",102481.381986188
"236","Palmyra Atoll",184434.887381387
"237","Gilbert Islands",31159.6851115648
"238","French Polynesia",49785.3224359342
"239","Johnston Atoll",34277.8158061693
"240","French Polynesia",95730.6833332558
"241","Australia",45035.3527137292
"242","New Zealand",19333.1108720271
"243","Nauru",4729.30992235716
"244","Johnston Atoll",179201.003976064
"245","Tuvalu",63476.6434349246
"246","Cook Islands",91686.444639615
"247","Marshall Islands",119804.673584364
"248","Hawaii",40329.8094580689
"249","Cook Islands",94776.1925235944
"250","Northern Mariana Islands",126127.03509109
"251","Marshall Islands",116060.635472616
"252","Japan",119587.677557204
"253","New Zealand",92589.2843013162
"254","French Polynesia",91932.8885952614
"255","Australia",70349.2882004691
"256","New Zealand",117334.945436865
"257","French Polynesia",144770.013891833
"258","Fiji",45256.0360596719
"259","Philippines",146177.697348796
"260","Japan",48345.3927357737
"261","Australia",172361.285006043
"262","French Polynesia",42352.2086080156
"263","New Zealand",55557.9086426322
"264","Japan",35331.0297028257
"265","Palau",8762.75623190849
"266","Palau",653.23264024143
"267","Line Group",144865.112661595
"268","Australia",131365.449805101
"269","Micronesia",86805.4212978949
"270","Marshall Islands",84767.4106097994
"271","Australia",139746.127019536
"272","Micronesia",143753.573390498
"273","Australia",75182.8068291175
"274","Northern Mariana Islands",77101.2951575353
"275","Gilbert Islands",44073.5488368789
"276","Cook Islands",43033.1379414789
"277","Hawaii",105818.677912499
"278","Australia",164112.074182704
"279","Northern Mariana Islands",27165.6904911914
"280","Cook Islands",73253.6136951809
"281","Japan",59181.7194442848
"282","New Zealand",178705.331831588
"283","Wake Island",107407.512528257
"284","New Zealand",42156.5916274774
"285","Line Group",154591.826003295
"286","Guam",134632.669866604
"287","Nauru",45060.5562994548
"288","Hawaii",117329.445159982
"289","Jarvis Island",118251.612310972
"290","Phoenix Group",66016.4331927291
"291","Japan",105017.229165824
"292","Australia",55387.2519207826
"293","French Polynesia",146929.539190712
"294","Micronesia",162699.147188183
"295","Japan",137779.201451907
"296","Jarvis Island",180892.440639038
"297","New Zealand",26021.6161726182
"298","Northern Mariana Islands",49433.2003638568
"299","Solomon Islands",45638.0863909352
"300","Papua New Guinea",154121.471365113
"301","Hawaii",95621.3016958164
"302","Howland and Baker islands",48937.4074056639
"303","Micronesia",41442.7746992133
"304","New Zealand",121048.489555434
"305","Johnston Atoll",8173.9000224106
"306","Johnston Atoll",158921.529549873
"307","Philippines",46596.6486138707
"308","Japan",176130.362601943
"309","Japan",67547.7099713373
"310","French Polynesia",27714.1208005808
"311","Indonesia",136209.823670382
"312","Line Group",12033.7783215815
"313","French Polynesia",91181.357589716
"314","Australia",109186.401460085
"315","New Zealand",20048.4138798793
"316","Phoenix Group",87551.2916421316
"317","Northern Mariana Islands",86755.9879462814
"318","New Zealand",169059.592114631
"319","Cook Islands",130035.374825436
"320","Marshall Islands",183826.855834719
"321","Micronesia",66397.7598051919
"322","Cook Islands",90807.6225254649
"323","New Zealand",111273.398771716
"324","Northern Mariana Islands",4781.91421573782
"325","Line Group",4196.74555850552
"326","Marshall Islands",159777.419211176
"327","Japan",132195.792758802
"328","Australia",73342.2074166581
"329","Line Group",124096.96005872
"330","Japan",11995.4355216928
"331","Hawaii",182676.538692868
"332","New Zealand",124977.955094931
"333","Japan",65595.2220945967
"334","Japan",107895.87431768
"335","New Zealand",139544.247277602
"336","New Zealand",109288.687113751
"337","Micronesia",146694.896308875
"338","French Polynesia",125616.103522591
"339","Fiji",6618.09424339758
"340","Wake Island",20521.5166514896
"341","French Polynesia",16595.3451193532
"342","French Polynesia",120613.959248755
"343","Fiji",33898.4152073027
"344","Line Group",125276.459721826
"345","Hawaii",55658.2272557616
"346","Northern Mariana Islands",145957.262415607
"347","Tuvalu",132997.297189889
"348","Japan",39491.8919679341
"349","Australia",184892.081521224
"350","Micronesia",17472.967443852
"351","Hawaii",18460.2008129007
"352","Norfolk Island",2883.51933438827
"353","Japan",26204.9932970908
"354","Marshall Islands",91952.3315154185
"355","Phoenix Group",1102.07110400837
"356","Australia",13396.1044543545
"357","Australia",61789.3840313944
"358","Cook Islands",40284.6486117718
"359","Japan",39456.1823478229
"360","French Polynesia",3276.71534513229
"361","Philippines",65260.4111598541
"362","Phoenix Group",19881.2469290846
"363","Australia",103355.115156837
"364","Cook Islands",1974.69908969038
"365","Norfolk Island",61113.5491753105
"366","Australia",32546.9166636011
"367","New Caledonia",9629.10425277556
"368","Niue",161479.459108418
"369","New Zealand",175605.804124794
"370","Nauru",29009.8385487723
"371","French Polynesia",110808.951026393
"372","Japan",14996.9764953099
"373","Papua New Guinea",85451.5989105596
"374","Marshall Islands",175867.759763877
"375","French Polynesia",77125.8372833212
"376","Marshall Islands",161526.348985228
"377","Johnston Atoll",63604.2727528426
"378","Japan",121970.253806792
"379","Japan",55992.2519022058
"380","New Zealand",2500.65202354557
"381","French Polynesia",97681.3986773175
"382","Japan",50158.4644101028
"383","New Zealand",85213.0951380639
"384","Hawaii",141091.558715673
"385","Cook Islands",88677.7457846602
"386","Gilbert Islands",25350.2964840073
"387","New Zealand",135363.892379846
"388","Hawaii",155538.441942962
"389","Hawaii",68315.8112195241
"390","Marshall Islands",173319.922773894
"391","Norfolk Island",32640.0903598651
"392","Solomon Islands",167433.590219412
"393","Phoenix Group",27778.8645946036
"394","French Polynesia",88795.4920755802
"395","Gilbert Islands",112873.479169507
"396","Australia",19849.734394499
"397","Johnston Atoll",27128.4563091535
"398","Howland and Baker islands",175523.241170987
"399","New Zealand",92727.3634372498
"400","Phoenix Group",108886.857155818
"401","New Zealand",99762.738741091
"402","New Zealand",89997.9796163526
"403","Indonesia",48518.0537187269
"404","Johnston Atoll",53993.4783612789
"405","Australia",146028.504480647
"406","Johnston Atoll",149079.36072886
"407","New Zealand",147366.718031491
"408","Japan",121301.052762725
"409","Hawaii",147851.026466737
"410","Phoenix Group",99816.2044799867
"411","New Zealand",83484.6299050324
"412","New Zealand",117357.451852473
"413","Papua New Guinea",90965.4677828457
"414","Line Group",135183.241512048
"415","Japan",39246.5606780626
"416","Hawaii",35723.4053316296
"417","New Zealand",77489.7589176956
"418","New Zealand",7786.03194566467
"419","Australia",26710.1857573245
"420","Pitcairn",140721.340554684
"421","Palau",149866.058565247
"422","Howland and Baker islands",96876.3390854286
"423","Australia",12168.2741549503
"424","Australia",96455.5983501646
"425","Micronesia",49723.9517966756
"426","Hawaii",82132.2331602794
"427","Papua New Guinea",122937.705353358
"428","Cook Islands",130799.384496226
"429","Japan",149280.078480225
"430","Phoenix Group",552.90204356301
"431","Hawaii",74775.857569076
"432","Johnston Atoll",140429.704056774
"433","New Zealand",95421.6163027969
"434","Indonesia",12029.9787330203
"435","French Polynesia",178868.442602703
"436","Northern Mariana Islands",45472.5157145796
"437","New Zealand",8418.10811822899
"438","Gilbert Islands",73504.865402331
"439","Australia",149210.320170273
"440","French Polynesia",1923.68699860189
"441","Howland and Baker islands",165839.705305013
"442","Northern Mariana Islands",68376.5270706704
"443","New Zealand",173152.134414223
"444","Hawaii",106436.553781025
"445","Phoenix Group",122153.785469837
"446","New Zealand",10343.562167375
"447","French Polynesia",54836.6738656162
"448","New Zealand",36898.500355034
"449","Japan",43567.5510210905
"450","Hawaii",695.363259836031
"451","Howland and Baker islands",22045.9997016403
"452","Micronesia",66590.8748250639
"453","Australia",184944.087917257
"454","Micronesia",127536.177926232
"455","New Zealand",161981.363251497
"456","Jarvis Island",145422.305960865
"457","Johnston Atoll",174281.126960764
"458","Pitcairn",35570.8730028441
"459","Marshall Islands",40412.8318772993
"460","Japan",18079.6733214799
"461","Japan",109089.748113714
"462","Micronesia",66243.7173893957
"463","Japan",176468.680293488
"464","Palau",97051.7185317738
"465","Solomon Islands",62692.2247932986
"466","Philippines",85960.4996158971
"467","Hawaii",47947.6212720837
"468","New Zealand",5536.49243318963
"469","Phoenix Group",78454.1841178542
"470","New Zealand",62132.288775363
"471","Fiji",49315.7259803884
"472","New Zealand",172903.184988383
"473","Wake Island",88463.594656889
"474","Australia",34650.066008327
"475","Australia",145453.956563746
"476","Howland and Baker islands",18222.5663944141
"477","French Polynesia",52626.2014331424
"478","Hawaii",17920.3615042504
"479","Cook Islands",31739.831808311
"480","Hawaii",139079.28870964
"481","Niue",164120.211467226
"482","Solomon Islands",39452.1680778071
"483","Palmyra Atoll",114842.854157852
"484","New Zealand",51116.4665143291
"485","Australia",103527.065139057
"486","Japan",172059.855790973
"487","Nauru",32691.7875820074
"488","Hawaii",87194.6960407955
"489","New Zealand",55995.6437848913
"490","Line Group",7799.60173181505
"491","Hawaii",114306.792500427
"492","Marshall Islands",95135.4795637522
"493","Australia",31707.7046603046
"494","Johnston Atoll",131686.550751929
"495","French Polynesia",150610.016487725
"496","Hawaii",75120.3809993131
"497","French Polynesia",160902.350694829
"498","Hawaii",138683.913661883
"499","Howland and Baker islands",67149.0269541112
"500","Japan",156910.442664315
"501","Hawaii",14991.0027136432
"502","Tuvalu",89269.4079317113
"503","New Zealand",35176.0604304452
"504","Micronesia",105628.422669487
"505","Japan",44362.7525427577
"506","New Zealand",155502.405186355
"507","Hawaii",166408.437257704
"508","Hawaii",102604.554524718
"509","New Zealand",109872.082715364
"510","Australia",130475.937067276
"511","Micronesia",15196.4698160949
"512","French Polynesia",61609.8172053623
"513","Japan",25446.8920763104
"514","French Polynesia",181707.666433352
"515","Marshall Islands",147566.749733132
"516","Japan",76874.9478215434
"517","Japan",101108.217433875
"518","Line Group",4568.2949612933
"519","Northern Mariana Islands",98643.6886630119
"520","Johnston Atoll",94776.5184530324
"521","Japan",1471.79816972378
"522","Solomon Islands",53461.5027927301
"523","Line Group",70285.5243313328
"524","Hawaii",175898.945806589
"525","Tonga",79741.603182408
"526","Hawaii",184149.209103084
"527","New Zealand",42455.0985605447
"528","New Zealand",127368.6983165
"529","Hawaii",24048.1070794014
"530","Papua New Guinea",44448.158011278
"531","Papua New Guinea",22551.7789378774
"532","Jarvis Island",68359.8473581199
"533","New Zealand",181982.438226389
"534","Marshall Islands",44613.4631485249
"535","Palau",179876.035433581
"536","Phoenix Group",38195.8611824083
"537","Hawaii",31546.8262724418
"538","Hawaii",150419.238229823
"539","Palmyra Atoll",34231.2277364259
"540","New Zealand",40754.6842938968
"541","Japan",34692.9548870469
"542","New Zealand",2244.85352628496
"543","French Polynesia",1195.10155432043
"544","Cook Islands",4944.07709641215
"545","Howland and Baker islands",19010.4209046659
